ID,Район,Улица,Комнаты,Площадь,Этаж,Серия,Цена за м2,Цена,Ссылка
tr_56122804,Кенгарагс,Икшкилес 5,1,34,6/12,Чеш. пр.,1000 €,"34,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/kengarags/bkbgd.html
tr_56810976,Вецмилгравис,Стиебру 8,1,28,5/5,Лит. пр.,964 €,"27,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/doopl.html
tr_56441063,Шампетерис-Плескодале,Лиелирбес 9A,2,42,4/4,Нов.,2547 €,"107,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/shampeteris-pleskodale/bejlbj.html
tr_56438243,Шампетерис-Плескодале,Лиелирбес 9A,3,47,3/4,Нов.,2563 €,"120,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/shampeteris-pleskodale/bfbngp.html
tr_54697723,Межапарк,Инчукална 2,3,83,1/4,Рекон.,1963 €,"163,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhapark/bfxkoo.html
tr_57029305,центр,Чака 133,1,28,4/6,Дов. дом,1782 €,"49,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bcomhj.html
tr_56733008,Яунциемс,Яунциема Г. 182,2,40,5/5,Хрущ.,812 €,"32,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/jaunciems/bbfxhl.html
tr_56766211,центр,Сколас 25,6,192,6/6,Дов. дом,1299 €,"249,420  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bdmkn.html
tr_57035032,центр,Чака 133,2,57,3/6,Дов. дом,1491 €,"85,008  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bepheo.html
tr_57147394,центр,Чака 133,4,125,1/6,Дов. дом,557 €,"69,630  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ahdpo.html
tr_57001623,центр,Артилерияс 3,3,81,4/5,Дов. дом,1790 €,"145,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/agoxb.html
tr_57032146,центр,Чака 133,4,125,1/6,Дов. дом,557 €,"69,630  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/begcde.html
tr_57031818,центр,Чака 133,2,46,1/6,Дов. дом,1447 €,"66,567  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dbiif.html
tr_57029267,центр,Чака 133A,1,34,4/6,Дов. дом,1213 €,"41,261  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bebdih.html
tr_57151897,центр,Чака 133,2,43,1/6,Дов. дом,1847 €,"79,453  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/goigg.html
tr_57152836,центр,Чака 133,1,32,4/6,Дов. дом,1593 €,"51,002  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/aeble.html
tr_57255232,Плявниеки,Каудзишу 8,2,50,9/9,602-я,1100 €,"55,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/plyavnieki/fxcgi.html
tr_57153144,центр,Чака 133A,1,34,4/6,Дов. дом,1213 €,"41,261  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/hdgbg.html
tr_57155852,центр,Чака 133A,1,33,5/6,Дов. дом,1294 €,"42,728  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bcilen.html
tr_56846512,центр,Марияс 8C,6,243,2/2,Дов. дом,901 €,"219,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bfenho.html
tr_52900286,Саркандаугава,Саркандаугавас 19а,1,25,1/5,Дов. дом,380 €,"9,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/sarkandaugava/dnhnd.html
tr_56843862,Югла,Юглас 27,2,46,1/3,Спец. пр.,1083 €,"49,850  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/yugla/dcpim.html
tr_56536508,Тейка,Джутас 13A,2,53,4/5,103-я,1301 €,"69,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/bcikbg.html
tr_56539408,Агенскалнс,Мартиня 8A,3,78,1/7,Рекон.,2205 €,"172,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/bkipld.html
tr_57254590,центр,Матиса 69,2,59,4/6,Нов.,2338 €,"138,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bemfhe.html
tr_57181055,центр,Чака 133A,1,32,6/6,Дов. дом,1160 €,"37,129  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dkmoo.html
tr_57128132,центр,Чака 133A,1,31,5/6,Дов. дом,1210 €,"37,510  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bbhhh.html
tr_57178076,центр,Дзирнаву 53,3,119,5/6,Рекон.,3997 €,"475,650  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/aojdk.html
tr_57109220,центр,Таллинас 96-8,3,63,2/2,Рекон.,1555 €,"98,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ehfgp.html
tr_57149353,центр,Чака 133,1,31,4/6,Дов. дом,1198 €,"37,150  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/compn.html
tr_56989014,центр,Виландес 12,3,105,5/6,Рекон.,1952 €,"205,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/aejfn.html
tr_56679258,центр,Гану 6,3,74,1/6,Дов. дом,1954 €,"144,600  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ajhdk.html
tr_54234472,Иманта,Акацию 2F,3,62,2/9,Нов.,2528 €,"156,790  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/cgceb.html
tr_55693113,Иманта,Акацию 2F,4,78,2/9,Нов.,2805 €,"218,858  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/bnhmh.html
tr_57176905,Вецмилгравис,Зиемельблазмас 44,1,41,4/9,602-я,823 €,"33,750  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/beoexf.html
tr_57253443,Иманта,Курземес пр. 128,3,62,1/9,602-я,1290 €,"80,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/djdno.html
tr_57253481,Вецмилгравис,Зиемельблазмас 42,2,51,3/9,602-я,1039 €,"53,000€",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/achmk.html
tr_57253287,Плявниеки,Салнас 20,2,51,5/9,602-я,1019 €,"52,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/plyavnieki/dnxld.html
tr_57171292,Межапарк,Судрабу Эджус 22,5,130,2/2,Рекон.,1996 €,"259,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhapark/bdphxn.html
tr_55871677,центр,Клуса 20,1,37,2/9,Рекон.,1297 €,"48,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dmjec.html
tr_57253038,Зиепниеккалнс,Валдекю 51,3,81,6/9,119-я,1171 €,"94,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/bjfcx.html
tr_57158099,Агенскалнс,Ранькя Д. 31,2,54,4/4,Рекон.,2185 €,"118,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/bxlnxo.html
tr_57053343,центр,Кунгу 20,3,75,2/6,Нов.,2933 €,"220,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bexkkb.html
tr_57181599,центр,Томсона 30,2,82,2/9,Нов.,2317 €,"190,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/djxxk.html
tr_57181568,Межциемс,Кайвас 50/5,2,48,5/5,Нов.,1979 €,"95,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhciems/dmjnf.html
tr_56856852,центр,Стабу 15,-,218,8/8,Сталинка,844 €,"184,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ecdpg.html
tr_57174438,Саркандаугава,Саркандаугавас 26,-,353,1/5,Спец. пр.,184 €,"65,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/sarkandaugava/finon.html
tr_57252625,Агенскалнс,Маргриетас 13,1,30,4/4,Хрущ.,1383 €,"41,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/bxmjno.html
tr_57252266,центр,Бривибас 159,6,130,1/6,Дов. дом,992 €,"129,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ahkme.html
tr_57252539,Ильгюциемс,Реньгес 9,1,29,1/1,Ч. дом,1034 €,"30,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ilguciems/bkbnk.html
tr_57144240,Межапарк,Либекас 16,3,120,2/2,Рекон.,2083 €,"250,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhapark/lemih.html
tr_57249132,центр,Дунтес 28,6,262,15/15,Спец. пр.,1072 €,"281,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bffxpp.html
tr_57087668,Тейка,Буртниеку 35,1,18,2/5,Хрущ.,1469 €,"26,458  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/bboxcd.html
tr_57252326,Пурвциемс,Деглава 108/6,1,42,4/9,119-я,1214 €,"51,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/eghim.html
tr_57251117,Зиепниеккалнс,Валдекю 17,2,51,1/5,Спец. пр.,1166 €,"59,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/glcbe.html
tr_57110301,центр,Чака 133,1,43,5/6,Дов. дом,1285 €,"55,282  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/doeko.html
tr_57164138,центр,Чака 133,1,34,3/6,Дов. дом,1220 €,"41,503  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bfjjj.html
tr_57052852,центр,Чака 133,1,43,5/6,Дов. дом,1285 €,"55,282  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ehlxh.html
tr_57032352,центр,Чака 133,5,100,2/6,Дов. дом,1233 €,"123,330  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bnxdx.html
tr_56955923,Пурвциемс,Астрас 8 k-1,2,60,12/24,Нов.,2631 €,"157,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/cdjfg.html
